id,company_size,industry,location,remote_policy,available_accommodations
19,medium,retail,New Kathleen,in-office,"['flexible schedule', 'modified training materials', 'assistive technology', 'physical workspace modifications', 'interpreter services']"
20,medium,healthcare,Jerrybury,hybrid,"['interpreter services', 'physical workspace modifications', 'assistive technology', 'modified training materials', 'flexible schedule', 'noise reduction', 'remote work']"
21,medium,finance,Lake Debraville,in-office,"['modified training materials', 'remote work', 'flexible schedule', 'noise reduction']"
22,small,healthcare,Jillstad,hybrid,"['flexible schedule', 'interpreter services', 'remote work']"
23,small,finance,South Zacharyburgh,hybrid,"['modified training materials', 'flexible schedule', 'assistive technology', 'remote work']"
24,small,tech,Destinyburgh,hybrid,"['interpreter services', 'physical workspace modifications', 'remote work', 'assistive technology', 'flexible schedule']"
25,medium,retail,Matthewfort,hybrid,"['assistive technology', 'modified training materials', 'remote work']"
26,large,healthcare,Steeleborough,in-office,"['assistive technology', 'physical workspace modifications', 'flexible schedule', 'noise reduction']"
27,large,manufacturing,North Ashley,in-office,"['flexible schedule', 'modified training materials', 'interpreter services', 'assistive technology']"
28,large,retail,Tyronefurt,hybrid,"['remote work', 'physical workspace modifications', 'interpreter services']"
29,small,healthcare,Matthewhaven,hybrid,"['physical workspace modifications', 'modified training materials', 'remote work']"
30,small,finance,New Joy,hybrid,"['remote work', 'noise reduction', 'modified training materials', 'assistive technology', 'physical workspace modifications', 'flexible schedule']"
31,medium,retail,Lindaborough,hybrid,"['interpreter services', 'physical workspace modifications', 'remote work', 'noise reduction', 'assistive technology']"
32,large,manufacturing,North Carrie,in-office,"['physical workspace modifications', 'remote work', 'noise reduction', 'interpreter services', 'flexible schedule']"
33,large,retail,West Jenniferburgh,hybrid,"['assistive technology', 'noise reduction', 'flexible schedule', 'remote work', 'modified training materials', 'interpreter services']"
34,medium,healthcare,North Ianmouth,hybrid,"['flexible schedule', 'physical workspace modifications', 'modified training materials', 'remote work']"
35,medium,finance,East Karina,in-office,"['assistive technology', 'remote work']"
36,medium,finance,North Teresa,in-office,"['assistive technology', 'interpreter services', 'remote work', 'physical workspace modifications']"
37,small,finance,Port Julietown,hybrid,"['modified training materials', 'physical workspace modifications', 'interpreter services', 'flexible schedule', 'assistive technology', 'noise reduction', 'remote work']"
38,large,manufacturing,South Jacquelinetown,remote-friendly,"['assistive technology', 'flexible schedule', 'noise reduction', 'remote work', 'modified training materials', 'interpreter services']"
39,medium,healthcare,Osborneland,remote-friendly,"['remote work', 'flexible schedule', 'physical workspace modifications', 'noise reduction']"
40,large,manufacturing,Meganberg,remote-friendly,"['noise reduction', 'modified training materials', 'interpreter services', 'assistive technology', 'flexible schedule', 'physical workspace modifications', 'remote work']"
41,medium,finance,Angelicamouth,remote-friendly,"['physical workspace modifications', 'flexible schedule', 'interpreter services', 'assistive technology', 'noise reduction', 'modified training materials', 'remote work']"
42,large,retail,Lake Denisestad,in-office,"['assistive technology', 'remote work', 'noise reduction']"
43,medium,retail,East Steventon,remote-friendly,"['flexible schedule', 'physical workspace modifications', 'assistive technology', 'remote work', 'modified training materials']"
44,large,retail,Louisview,remote-friendly,"['remote work', 'flexible schedule', 'modified training materials', 'noise reduction', 'assistive technology', 'interpreter services']"
45,medium,manufacturing,Navarromouth,in-office,"['modified training materials', 'noise reduction', 'assistive technology']"
46,large,manufacturing,Reynoldshaven,hybrid,"['flexible schedule', 'interpreter services', 'remote work']"
47,large,finance,East Becky,remote-friendly,"['remote work', 'flexible schedule', 'modified training materials', 'assistive technology']"
48,small,healthcare,Phillipsview,in-office,"['physical workspace modifications', 'assistive technology']"
49,small,retail,North Sarahmouth,remote-friendly,"['flexible schedule', 'assistive technology', 'interpreter services', 'remote work']"
50,small,finance,Andersonstad,remote-friendly,"['physical workspace modifications', 'assistive technology', 'remote work']"
51,medium,retail,Lopezbury,hybrid,"['flexible schedule', 'physical workspace modifications', 'remote work']"
52,medium,tech,Robertland,hybrid,"['assistive technology', 'noise reduction', 'physical workspace modifications', 'modified training materials', 'remote work']"
53,small,manufacturing,East Chelsea,in-office,"['flexible schedule', 'remote work', 'physical workspace modifications', 'noise reduction', 'interpreter services', 'assistive technology']"
54,small,retail,Lake David,remote-friendly,"['assistive technology', 'noise reduction', 'interpreter services', 'flexible schedule', 'physical workspace modifications', 'remote work']"
55,large,tech,Port Kellie,in-office,"['modified training materials', 'physical workspace modifications', 'flexible schedule', 'remote work']"
56,medium,manufacturing,Port Maureenton,hybrid,"['interpreter services', 'physical workspace modifications', 'noise reduction', 'remote work']"
57,large,manufacturing,East Jamesbury,hybrid,"['flexible schedule', 'modified training materials', 'remote work']"
58,medium,tech,Gloriachester,remote-friendly,"['remote work', 'flexible schedule', 'modified training materials', 'physical workspace modifications']"
59,large,manufacturing,West Joe,remote-friendly,"['interpreter services', 'remote work']"
60,small,tech,Floresborough,remote-friendly,"['remote work', 'interpreter services', 'assistive technology', 'noise reduction', 'physical workspace modifications']"
61,small,tech,South Kelseymouth,remote-friendly,"['flexible schedule', 'noise reduction', 'assistive technology', 'remote work']"
62,small,finance,Port Brandon,remote-friendly,"['assistive technology', 'flexible schedule', 'remote work']"
63,small,healthcare,Jillianview,hybrid,"['assistive technology', 'physical workspace modifications', 'remote work', 'noise reduction']"
64,large,retail,Joshuaburgh,remote-friendly,"['interpreter services', 'flexible schedule', 'noise reduction', 'assistive technology', 'remote work']"
65,large,tech,Foxshire,hybrid,"['physical workspace modifications', 'assistive technology', 'modified training materials', 'noise reduction', 'remote work']"
66,small,retail,Mckeetown,remote-friendly,"['modified training materials', 'interpreter services', 'remote work']"
67,small,retail,Rubiohaven,remote-friendly,"['noise reduction', 'physical workspace modifications', 'remote work']"
68,large,retail,Harringtonbury,remote-friendly,"['flexible schedule', 'assistive technology', 'physical workspace modifications', 'remote work', 'noise reduction']"
69,small,healthcare,New Lisaborough,remote-friendly,"['flexible schedule', 'remote work', 'noise reduction', 'interpreter services', 'assistive technology', 'modified training materials']"
70,medium,finance,North Travisstad,remote-friendly,"['physical workspace modifications', 'modified training materials', 'noise reduction', 'assistive technology', 'flexible schedule', 'remote work']"
71,large,tech,South Michelle,in-office,"['flexible schedule', 'noise reduction']"
72,medium,finance,Danielfurt,hybrid,"['physical workspace modifications', 'interpreter services', 'modified training materials', 'assistive technology', 'noise reduction', 'remote work']"
73,medium,finance,Cruzmouth,in-office,"['remote work', 'physical workspace modifications']"
74,large,retail,Lake Troy,hybrid,"['remote work', 'modified training materials']"
75,small,retail,Kellyview,remote-friendly,"['noise reduction', 'physical workspace modifications', 'modified training materials', 'assistive technology', 'remote work']"
76,medium,finance,Jonesville,remote-friendly,"['noise reduction', 'physical workspace modifications', 'remote work']"
77,medium,finance,South Cristian,remote-friendly,"['remote work', 'flexible schedule', 'interpreter services', 'modified training materials', 'noise reduction']"
78,small,retail,East Johnberg,remote-friendly,"['noise reduction', 'assistive technology', 'modified training materials', 'remote work', 'physical workspace modifications']"
79,small,healthcare,New Danielborough,remote-friendly,"['noise reduction', 'flexible schedule', 'interpreter services', 'modified training materials', 'assistive technology', 'physical workspace modifications', 'remote work']"
80,small,finance,Levymouth,remote-friendly,"['flexible schedule', 'assistive technology', 'modified training materials', 'noise reduction', 'interpreter services', 'physical workspace modifications', 'remote work']"
81,small,tech,Heiditown,remote-friendly,"['remote work', 'modified training materials']"
82,medium,tech,New James,hybrid,"['assistive technology', 'physical workspace modifications', 'flexible schedule', 'modified training materials', 'interpreter services', 'noise reduction', 'remote work']"
83,large,manufacturing,Hallport,in-office,"['physical workspace modifications', 'modified training materials', 'flexible schedule', 'interpreter services', 'remote work', 'assistive technology']"
84,large,healthcare,Martinchester,hybrid,"['remote work', 'interpreter services', 'noise reduction']"
85,small,retail,South Priscilla,in-office,"['assistive technology', 'interpreter services', 'flexible schedule', 'physical workspace modifications']"
86,large,finance,Kathrynchester,remote-friendly,"['assistive technology', 'modified training materials', 'flexible schedule', 'remote work']"
87,small,retail,Myersside,remote-friendly,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'remote work']"
88,large,manufacturing,North Connortown,hybrid,"['noise reduction', 'assistive technology', 'remote work']"
89,medium,finance,Lake Lisaland,in-office,"['noise reduction', 'physical workspace modifications', 'flexible schedule', 'interpreter services']"
90,medium,retail,Justinfort,in-office,"['modified training materials', 'flexible schedule']"
91,small,tech,Lake Codystad,hybrid,"['noise reduction', 'modified training materials', 'remote work']"
92,large,tech,Douglasmouth,hybrid,"['physical workspace modifications', 'assistive technology', 'interpreter services', 'noise reduction', 'flexible schedule', 'remote work']"
93,medium,retail,West Michael,remote-friendly,"['modified training materials', 'physical workspace modifications', 'remote work']"
94,small,manufacturing,West Jennifer,in-office,"['assistive technology', 'flexible schedule', 'remote work', 'interpreter services']"
95,large,finance,West Randalltown,hybrid,"['noise reduction', 'flexible schedule', 'remote work']"
96,small,finance,North Dorothy,in-office,"['modified training materials', 'noise reduction', 'assistive technology', 'flexible schedule']"
97,large,tech,Garciaton,remote-friendly,"['modified training materials', 'flexible schedule', 'remote work']"
98,small,tech,Jenniferburgh,hybrid,"['physical workspace modifications', 'interpreter services', 'flexible schedule', 'noise reduction', 'modified training materials', 'remote work']"
99,medium,retail,North Phillipmouth,hybrid,"['flexible schedule', 'interpreter services', 'remote work', 'physical workspace modifications']"
100,large,manufacturing,New Jameston,hybrid,"['noise reduction', 'assistive technology', 'remote work']"
101,small,retail,Marymouth,remote-friendly,"['assistive technology', 'physical workspace modifications', 'modified training materials', 'remote work']"
102,small,healthcare,West Andreview,in-office,"['remote work', 'noise reduction', 'physical workspace modifications']"
103,large,manufacturing,Bonillafurt,remote-friendly,"['assistive technology', 'flexible schedule', 'physical workspace modifications', 'interpreter services', 'remote work', 'modified training materials']"
104,medium,healthcare,Fergusonton,remote-friendly,"['modified training materials', 'flexible schedule', 'remote work', 'physical workspace modifications', 'assistive technology', 'interpreter services']"
105,large,manufacturing,Ericburgh,in-office,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'flexible schedule', 'remote work', 'interpreter services']"
106,small,tech,Yolandafurt,in-office,"['noise reduction', 'remote work', 'assistive technology', 'modified training materials', 'physical workspace modifications']"
107,large,tech,West William,in-office,"['remote work', 'interpreter services', 'physical workspace modifications', 'noise reduction', 'modified training materials', 'assistive technology']"
108,medium,healthcare,New Meganfort,hybrid,"['physical workspace modifications', 'flexible schedule', 'remote work']"
109,small,healthcare,Leonardhaven,in-office,"['physical workspace modifications', 'assistive technology', 'flexible schedule', 'interpreter services', 'noise reduction']"
110,medium,manufacturing,West Josephborough,remote-friendly,"['noise reduction', 'modified training materials', 'assistive technology', 'physical workspace modifications', 'remote work']"
111,medium,healthcare,Lake Rachaelland,hybrid,"['flexible schedule', 'assistive technology', 'noise reduction', 'modified training materials', 'interpreter services', 'remote work']"
112,medium,retail,Williamsberg,hybrid,"['remote work', 'flexible schedule', 'noise reduction', 'modified training materials', 'physical workspace modifications', 'interpreter services']"
113,large,tech,Wesleybury,remote-friendly,"['noise reduction', 'remote work', 'flexible schedule']"
114,medium,manufacturing,Smithshire,in-office,"['noise reduction', 'assistive technology', 'flexible schedule']"
115,medium,manufacturing,Blevinschester,remote-friendly,"['remote work', 'modified training materials', 'noise reduction', 'interpreter services']"
116,small,retail,Fordchester,hybrid,"['noise reduction', 'remote work', 'flexible schedule', 'modified training materials', 'interpreter services', 'assistive technology']"
117,large,retail,Michaelmouth,in-office,"['noise reduction', 'flexible schedule', 'assistive technology', 'remote work', 'physical workspace modifications']"
118,medium,finance,Bethanychester,hybrid,"['modified training materials', 'noise reduction', 'interpreter services', 'flexible schedule', 'remote work', 'physical workspace modifications']"
119,medium,tech,East Jennifershire,remote-friendly,"['assistive technology', 'flexible schedule', 'modified training materials', 'interpreter services', 'physical workspace modifications', 'remote work']"
120,large,healthcare,Williamsfort,in-office,"['assistive technology', 'physical workspace modifications', 'modified training materials', 'remote work', 'flexible schedule', 'noise reduction']"
121,small,finance,Davidchester,hybrid,"['physical workspace modifications', 'interpreter services', 'remote work']"
122,small,finance,South Charles,remote-friendly,"['noise reduction', 'assistive technology', 'remote work', 'interpreter services', 'flexible schedule']"
123,large,finance,Andreafurt,remote-friendly,"['assistive technology', 'noise reduction', 'physical workspace modifications', 'interpreter services', 'remote work', 'modified training materials']"
124,small,manufacturing,Port Thomas,remote-friendly,"['assistive technology', 'flexible schedule', 'interpreter services', 'remote work', 'modified training materials']"
125,small,finance,Terryfort,in-office,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'remote work']"
126,large,healthcare,Christineview,in-office,"['noise reduction', 'modified training materials', 'assistive technology', 'flexible schedule']"
127,small,healthcare,Scottchester,in-office,"['interpreter services', 'modified training materials', 'noise reduction', 'flexible schedule']"
128,small,retail,Nicholasberg,in-office,"['noise reduction', 'remote work', 'assistive technology', 'interpreter services', 'physical workspace modifications', 'modified training materials']"
129,large,retail,Greentown,hybrid,"['modified training materials', 'physical workspace modifications', 'noise reduction', 'assistive technology', 'remote work', 'flexible schedule']"
130,large,tech,Bestmouth,in-office,"['assistive technology', 'flexible schedule', 'interpreter services']"
131,large,finance,East Mitchell,hybrid,"['noise reduction', 'modified training materials', 'assistive technology', 'interpreter services', 'remote work']"
132,large,finance,North Maria,hybrid,"['flexible schedule', 'modified training materials', 'remote work']"
133,small,finance,North Markview,remote-friendly,"['remote work', 'flexible schedule', 'physical workspace modifications', 'interpreter services']"
134,small,retail,South Debra,in-office,"['remote work', 'interpreter services']"
135,small,tech,Lake Joshua,hybrid,"['assistive technology', 'remote work', 'flexible schedule', 'modified training materials', 'interpreter services', 'physical workspace modifications']"
136,large,tech,New Brendaville,in-office,"['flexible schedule', 'remote work', 'modified training materials', 'interpreter services', 'assistive technology', 'noise reduction']"
137,large,healthcare,Mooreberg,in-office,"['noise reduction', 'modified training materials', 'physical workspace modifications', 'flexible schedule']"
138,medium,healthcare,Alexandrachester,remote-friendly,"['flexible schedule', 'noise reduction', 'remote work']"
139,medium,finance,Port Corey,remote-friendly,"['noise reduction', 'modified training materials', 'assistive technology', 'flexible schedule', 'remote work', 'physical workspace modifications']"
140,small,finance,East Carlos,hybrid,"['remote work', 'noise reduction', 'interpreter services', 'flexible schedule']"
141,large,retail,Johnton,remote-friendly,"['remote work', 'flexible schedule', 'assistive technology', 'modified training materials']"
142,large,finance,New Joshuastad,hybrid,"['modified training materials', 'remote work']"
143,small,finance,Johnathanmouth,in-office,"['flexible schedule', 'physical workspace modifications']"
144,large,finance,West Christopherview,in-office,"['assistive technology', 'remote work']"
145,small,finance,East Grant,hybrid,"['remote work', 'flexible schedule', 'assistive technology', 'noise reduction', 'interpreter services']"
146,medium,healthcare,West Jason,in-office,"['assistive technology', 'interpreter services', 'noise reduction', 'remote work']"
147,medium,healthcare,Port Lauren,hybrid,"['remote work', 'physical workspace modifications', 'modified training materials']"
148,medium,healthcare,Riddleshire,in-office,"['noise reduction', 'flexible schedule', 'remote work']"
149,small,healthcare,Mooreville,remote-friendly,"['assistive technology', 'interpreter services', 'physical workspace modifications', 'remote work']"
150,medium,manufacturing,Alexisside,in-office,"['noise reduction', 'physical workspace modifications', 'interpreter services', 'flexible schedule']"
151,large,retail,Brianfort,in-office,"['remote work', 'noise reduction', 'assistive technology', 'physical workspace modifications', 'flexible schedule', 'modified training materials']"
152,medium,manufacturing,Guzmanton,remote-friendly,"['noise reduction', 'interpreter services', 'modified training materials', 'remote work']"
153,medium,finance,Mcdanielborough,hybrid,"['noise reduction', 'remote work', 'modified training materials', 'flexible schedule', 'physical workspace modifications', 'interpreter services']"
154,large,retail,Rossfurt,in-office,"['interpreter services', 'modified training materials', 'physical workspace modifications', 'flexible schedule', 'assistive technology']"
155,medium,manufacturing,North Leonardview,hybrid,"['assistive technology', 'flexible schedule', 'modified training materials', 'remote work']"
156,large,healthcare,Melissaville,in-office,"['assistive technology', 'noise reduction', 'interpreter services', 'remote work', 'physical workspace modifications']"
157,large,healthcare,North Marcberg,hybrid,"['remote work', 'flexible schedule', 'noise reduction', 'interpreter services', 'physical workspace modifications']"
158,small,tech,West Granttown,hybrid,"['interpreter services', 'remote work', 'assistive technology', 'flexible schedule', 'noise reduction', 'physical workspace modifications']"
159,medium,tech,Leeshire,hybrid,"['flexible schedule', 'physical workspace modifications', 'interpreter services', 'noise reduction', 'modified training materials', 'remote work']"
160,large,retail,West Gail,hybrid,"['physical workspace modifications', 'flexible schedule', 'remote work']"
161,small,tech,New Taylorberg,remote-friendly,"['remote work', 'assistive technology', 'noise reduction', 'interpreter services']"
162,medium,healthcare,New Jessica,remote-friendly,"['assistive technology', 'remote work', 'interpreter services', 'flexible schedule', 'physical workspace modifications']"
163,small,retail,West Brittneyberg,hybrid,"['remote work', 'modified training materials']"
164,medium,healthcare,Emilyland,remote-friendly,"['flexible schedule', 'interpreter services', 'remote work']"
165,large,manufacturing,New Lauren,remote-friendly,"['flexible schedule', 'assistive technology', 'modified training materials', 'interpreter services', 'remote work']"
166,medium,healthcare,North Brianton,remote-friendly,"['assistive technology', 'interpreter services', 'remote work']"
167,small,retail,New Summer,in-office,"['physical workspace modifications', 'noise reduction']"
168,large,retail,New Paula,remote-friendly,"['physical workspace modifications', 'flexible schedule', 'assistive technology', 'remote work']"
169,small,finance,North Jessica,in-office,"['noise reduction', 'modified training materials', 'remote work', 'flexible schedule', 'interpreter services', 'assistive technology']"
170,large,healthcare,Ambertown,in-office,"['flexible schedule', 'modified training materials', 'interpreter services', 'physical workspace modifications']"
171,medium,healthcare,North Mark,remote-friendly,"['flexible schedule', 'modified training materials', 'physical workspace modifications', 'noise reduction', 'assistive technology', 'remote work']"
172,small,healthcare,Tyroneburgh,hybrid,"['flexible schedule', 'interpreter services', 'remote work', 'physical workspace modifications', 'noise reduction']"
173,small,manufacturing,Lake Patricia,remote-friendly,"['assistive technology', 'interpreter services', 'physical workspace modifications', 'modified training materials', 'remote work']"
174,medium,manufacturing,Derrickchester,in-office,"['noise reduction', 'assistive technology', 'interpreter services', 'remote work', 'modified training materials']"
175,large,manufacturing,Patriciaborough,hybrid,"['modified training materials', 'physical workspace modifications', 'interpreter services', 'remote work']"
176,large,tech,Hallview,in-office,"['noise reduction', 'modified training materials', 'interpreter services', 'assistive technology', 'remote work']"
177,large,tech,Lake Maria,remote-friendly,"['flexible schedule', 'noise reduction', 'modified training materials', 'interpreter services', 'remote work']"
178,large,healthcare,Vincenttown,in-office,"['noise reduction', 'modified training materials']"
179,small,healthcare,West Jeffery,hybrid,"['flexible schedule', 'noise reduction', 'remote work']"
180,large,tech,Stewartfort,remote-friendly,"['remote work', 'flexible schedule']"
181,small,manufacturing,Amandamouth,in-office,"['assistive technology', 'flexible schedule', 'remote work', 'noise reduction']"
182,medium,finance,East Charles,in-office,"['modified training materials', 'remote work', 'interpreter services', 'physical workspace modifications', 'flexible schedule']"
183,medium,retail,Stricklandburgh,hybrid,"['modified training materials', 'physical workspace modifications', 'flexible schedule', 'remote work']"
184,small,manufacturing,Lawrenceville,in-office,"['interpreter services', 'modified training materials', 'remote work', 'flexible schedule', 'physical workspace modifications', 'assistive technology']"
185,medium,manufacturing,West Dianahaven,hybrid,"['physical workspace modifications', 'assistive technology', 'noise reduction', 'remote work']"
186,large,tech,Lake Leslie,hybrid,"['modified training materials', 'physical workspace modifications', 'remote work']"
187,large,healthcare,Port Joanna,in-office,"['assistive technology', 'flexible schedule', 'remote work', 'interpreter services']"
188,small,tech,West Jenniferport,hybrid,"['modified training materials', 'remote work']"
189,large,healthcare,Lake Mariabury,in-office,"['flexible schedule', 'remote work']"
190,large,retail,Paulburgh,remote-friendly,"['modified training materials', 'flexible schedule', 'noise reduction', 'interpreter services', 'remote work']"
191,large,finance,Villegasfort,hybrid,"['physical workspace modifications', 'noise reduction', 'remote work']"
192,small,retail,East Heatherside,remote-friendly,"['physical workspace modifications', 'flexible schedule', 'remote work']"
193,medium,retail,North Cindy,hybrid,"['physical workspace modifications', 'flexible schedule', 'noise reduction', 'assistive technology', 'interpreter services', 'remote work']"
194,large,manufacturing,Downsside,hybrid,"['physical workspace modifications', 'flexible schedule', 'remote work']"
195,large,tech,East Christopherberg,in-office,"['interpreter services', 'physical workspace modifications']"
196,medium,tech,Thomasborough,in-office,"['physical workspace modifications', 'interpreter services']"
197,large,retail,Palmerview,hybrid,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'remote work']"
198,medium,manufacturing,South Jenniferfurt,hybrid,"['assistive technology', 'physical workspace modifications', 'modified training materials', 'interpreter services', 'remote work']"
199,small,finance,Port Jamestown,in-office,"['interpreter services', 'noise reduction', 'modified training materials', 'remote work', 'assistive technology', 'flexible schedule']"
