id,disability_type,experience_years,education_level,accommodations,work_preference
106,cognitive,15,high school,"['modified training materials', 'physical workspace modifications', 'assistive technology', 'flexible schedule', 'noise reduction']",hybrid
107,hearing,2,associate,"['physical workspace modifications', 'noise reduction', 'interpreter services', 'modified training materials']",in-office
108,cognitive,10,high school,"['flexible schedule', 'physical workspace modifications']",hybrid
109,cognitive,1,bachelor,"['noise reduction', 'modified training materials', 'physical workspace modifications']",in-office
110,mobility,7,associate,['flexible schedule'],hybrid
111,mobility,1,master,['remote work'],fully remote
112,mobility,18,associate,['remote work'],in-office
113,mobility,2,high school,"['flexible schedule', 'remote work']",hybrid
114,hearing,0,master,"['modified training materials', 'noise reduction']",in-office
115,psychiatric,6,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
116,vision,20,master,['physical workspace modifications'],fully remote
117,cognitive,8,phd,"['flexible schedule', 'assistive technology', 'physical workspace modifications']",hybrid
118,cognitive,7,associate,"['flexible schedule', 'physical workspace modifications']",in-office
119,mobility,8,master,['physical workspace modifications'],fully remote
120,vision,12,master,['physical workspace modifications'],hybrid
121,chronic health,0,high school,"['noise reduction', 'flexible schedule']",hybrid
122,mobility,18,high school,"['physical workspace modifications', 'remote work']",hybrid
123,psychiatric,16,master,['flexible schedule'],hybrid
124,psychiatric,6,associate,"['flexible schedule', 'physical workspace modifications']",in-office
125,mobility,15,high school,"['remote work', 'flexible schedule']",fully remote
126,vision,19,master,['flexible schedule'],fully remote
127,cognitive,9,master,"['assistive technology', 'flexible schedule']",fully remote
128,hearing,8,associate,['modified training materials'],in-office
129,hearing,13,master,"['noise reduction', 'interpreter services', 'assistive technology']",in-office
130,hearing,10,phd,"['physical workspace modifications', 'modified training materials', 'assistive technology']",fully remote
131,mobility,6,high school,['remote work'],hybrid
132,chronic health,2,master,"['noise reduction', 'flexible schedule', 'remote work']",hybrid
133,vision,18,master,['remote work'],in-office
134,mobility,20,master,"['physical workspace modifications', 'flexible schedule']",fully remote
135,mobility,2,bachelor,['remote work'],in-office
136,vision,1,high school,"['remote work', 'flexible schedule']",fully remote
137,chronic health,10,high school,"['remote work', 'physical workspace modifications']",in-office
138,vision,1,high school,"['remote work', 'physical workspace modifications']",fully remote
139,cognitive,14,master,"['assistive technology', 'noise reduction']",in-office
140,vision,4,bachelor,['flexible schedule'],hybrid
141,chronic health,11,master,"['noise reduction', 'remote work', 'physical workspace modifications']",in-office
142,cognitive,3,associate,"['modified training materials', 'assistive technology']",fully remote
143,vision,7,master,"['flexible schedule', 'physical workspace modifications']",fully remote
144,cognitive,17,bachelor,"['assistive technology', 'flexible schedule']",in-office
145,hearing,11,associate,"['modified training materials', 'physical workspace modifications']",fully remote
146,vision,11,phd,"['physical workspace modifications', 'remote work']",hybrid
147,vision,1,phd,['physical workspace modifications'],fully remote
148,chronic health,12,master,"['physical workspace modifications', 'remote work']",hybrid
149,mobility,18,high school,"['remote work', 'flexible schedule']",in-office
150,vision,13,high school,['physical workspace modifications'],fully remote
151,mobility,11,high school,"['flexible schedule', 'remote work']",hybrid
152,hearing,1,bachelor,"['noise reduction', 'modified training materials', 'assistive technology']",fully remote
153,vision,1,phd,"['flexible schedule', 'remote work']",in-office
154,mobility,12,associate,['flexible schedule'],in-office
155,mobility,17,master,"['remote work', 'flexible schedule']",hybrid
156,psychiatric,7,associate,['noise reduction'],hybrid
157,hearing,13,high school,"['assistive technology', 'interpreter services', 'physical workspace modifications']",hybrid
158,psychiatric,3,associate,['physical workspace modifications'],in-office
159,mobility,12,bachelor,['flexible schedule'],in-office
160,mobility,13,bachelor,"['physical workspace modifications', 'flexible schedule']",hybrid
161,cognitive,1,master,"['assistive technology', 'noise reduction']",hybrid
162,cognitive,7,phd,"['noise reduction', 'flexible schedule', 'assistive technology', 'modified training materials']",in-office
163,mobility,20,master,['remote work'],fully remote
164,cognitive,10,associate,"['flexible schedule', 'assistive technology']",fully remote
165,cognitive,19,associate,"['noise reduction', 'physical workspace modifications']",hybrid
166,hearing,9,high school,['interpreter services'],hybrid
167,mobility,18,bachelor,['remote work'],hybrid
168,mobility,9,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
169,mobility,4,phd,['remote work'],hybrid
170,cognitive,12,high school,"['physical workspace modifications', 'flexible schedule', 'modified training materials', 'assistive technology']",fully remote
171,vision,14,high school,"['remote work', 'physical workspace modifications']",in-office
172,hearing,2,bachelor,"['assistive technology', 'modified training materials']",hybrid
173,chronic health,14,bachelor,"['remote work', 'noise reduction', 'flexible schedule']",in-office
174,mobility,2,bachelor,"['remote work', 'physical workspace modifications']",in-office
175,cognitive,5,master,"['physical workspace modifications', 'assistive technology']",fully remote
176,mobility,11,master,"['remote work', 'flexible schedule']",fully remote
177,hearing,19,master,"['noise reduction', 'physical workspace modifications']",in-office
178,chronic health,9,master,"['noise reduction', 'flexible schedule', 'physical workspace modifications']",hybrid
179,mobility,11,master,"['remote work', 'physical workspace modifications']",fully remote
180,cognitive,17,phd,"['flexible schedule', 'noise reduction', 'modified training materials', 'assistive technology', 'physical workspace modifications']",fully remote
181,hearing,2,high school,"['interpreter services', 'physical workspace modifications', 'noise reduction']",hybrid
182,cognitive,15,phd,"['physical workspace modifications', 'flexible schedule', 'assistive technology', 'noise reduction', 'modified training materials']",in-office
183,hearing,3,master,['noise reduction'],hybrid
184,hearing,2,bachelor,"['physical workspace modifications', 'noise reduction']",hybrid
185,cognitive,12,master,"['modified training materials', 'flexible schedule', 'noise reduction', 'physical workspace modifications']",hybrid
186,psychiatric,3,phd,"['flexible schedule', 'physical workspace modifications']",in-office
187,hearing,3,associate,"['interpreter services', 'assistive technology']",in-office
188,vision,3,high school,['physical workspace modifications'],hybrid
189,vision,19,associate,['physical workspace modifications'],in-office
190,psychiatric,8,associate,"['noise reduction', 'physical workspace modifications']",fully remote
191,mobility,13,high school,"['remote work', 'physical workspace modifications']",in-office
192,mobility,2,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
193,cognitive,5,high school,"['noise reduction', 'assistive technology', 'flexible schedule', 'physical workspace modifications']",hybrid
194,hearing,3,high school,['interpreter services'],hybrid
195,cognitive,19,master,"['noise reduction', 'flexible schedule', 'modified training materials', 'physical workspace modifications', 'assistive technology']",hybrid
196,mobility,8,master,"['flexible schedule', 'physical workspace modifications']",in-office
197,mobility,4,associate,['remote work'],fully remote
198,cognitive,12,phd,"['modified training materials', 'assistive technology', 'flexible schedule', 'physical workspace modifications']",hybrid
199,hearing,14,bachelor,['noise reduction'],hybrid
200,chronic health,2,high school,"['physical workspace modifications', 'remote work']",hybrid
201,vision,13,bachelor,['remote work'],fully remote
202,cognitive,7,master,"['flexible schedule', 'noise reduction', 'assistive technology']",hybrid
203,chronic health,17,associate,"['physical workspace modifications', 'remote work', 'flexible schedule']",hybrid
204,chronic health,16,phd,['remote work'],hybrid
205,hearing,4,associate,['physical workspace modifications'],in-office
206,psychiatric,11,associate,['flexible schedule'],in-office
207,chronic health,18,associate,"['physical workspace modifications', 'noise reduction']",fully remote
208,psychiatric,5,high school,"['noise reduction', 'flexible schedule']",in-office
209,psychiatric,18,phd,"['noise reduction', 'flexible schedule']",hybrid
210,cognitive,3,master,"['physical workspace modifications', 'assistive technology', 'noise reduction']",in-office
211,chronic health,13,master,"['physical workspace modifications', 'flexible schedule']",hybrid
212,cognitive,1,high school,"['noise reduction', 'modified training materials', 'assistive technology']",hybrid
213,mobility,11,associate,['physical workspace modifications'],in-office
214,hearing,2,phd,"['physical workspace modifications', 'modified training materials', 'noise reduction', 'assistive technology']",fully remote
215,mobility,3,phd,"['physical workspace modifications', 'flexible schedule']",hybrid
216,chronic health,5,high school,"['flexible schedule', 'remote work', 'noise reduction']",fully remote
217,mobility,20,high school,"['physical workspace modifications', 'remote work']",hybrid
218,psychiatric,12,bachelor,"['noise reduction', 'physical workspace modifications']",hybrid
219,hearing,16,master,"['modified training materials', 'noise reduction', 'assistive technology']",fully remote
220,vision,10,high school,['physical workspace modifications'],hybrid
221,mobility,1,high school,"['physical workspace modifications', 'flexible schedule']",fully remote
222,psychiatric,7,bachelor,['physical workspace modifications'],fully remote
223,hearing,4,high school,['modified training materials'],in-office
224,mobility,8,phd,"['remote work', 'flexible schedule']",hybrid
225,mobility,5,high school,['flexible schedule'],hybrid
226,cognitive,2,master,"['physical workspace modifications', 'flexible schedule', 'modified training materials']",fully remote
227,mobility,15,associate,"['flexible schedule', 'physical workspace modifications']",hybrid
228,psychiatric,2,bachelor,"['physical workspace modifications', 'noise reduction']",in-office
229,cognitive,18,associate,"['modified training materials', 'assistive technology']",fully remote
230,psychiatric,2,high school,['noise reduction'],in-office
231,vision,12,master,['remote work'],fully remote
232,mobility,6,phd,['remote work'],hybrid
233,chronic health,5,master,"['flexible schedule', 'remote work', 'noise reduction']",in-office
234,hearing,10,high school,"['interpreter services', 'assistive technology', 'noise reduction', 'modified training materials']",hybrid
235,vision,3,master,"['remote work', 'flexible schedule']",hybrid
236,vision,14,bachelor,['flexible schedule'],fully remote
237,chronic health,15,high school,['noise reduction'],in-office
238,mobility,2,high school,"['flexible schedule', 'remote work']",hybrid
239,mobility,1,phd,['flexible schedule'],hybrid
240,vision,11,associate,"['flexible schedule', 'remote work']",in-office
241,psychiatric,20,phd,"['noise reduction', 'physical workspace modifications']",hybrid
242,cognitive,18,associate,"['flexible schedule', 'assistive technology', 'modified training materials', 'noise reduction']",fully remote
243,vision,7,bachelor,"['remote work', 'physical workspace modifications']",fully remote
244,hearing,3,phd,"['physical workspace modifications', 'assistive technology']",fully remote
245,chronic health,14,master,"['flexible schedule', 'physical workspace modifications']",hybrid
246,hearing,17,phd,['interpreter services'],hybrid
247,mobility,5,master,['flexible schedule'],hybrid
248,mobility,15,master,"['flexible schedule', 'remote work']",hybrid
249,hearing,0,bachelor,"['interpreter services', 'physical workspace modifications', 'noise reduction']",hybrid
250,vision,6,master,['remote work'],hybrid
251,mobility,3,bachelor,"['remote work', 'flexible schedule']",in-office
252,chronic health,3,high school,['remote work'],hybrid
253,hearing,12,associate,"['modified training materials', 'interpreter services', 'noise reduction']",in-office
254,vision,20,master,"['physical workspace modifications', 'flexible schedule']",hybrid
255,vision,18,master,"['remote work', 'flexible schedule']",fully remote
256,psychiatric,5,phd,['noise reduction'],in-office
257,cognitive,9,bachelor,"['physical workspace modifications', 'flexible schedule']",fully remote
258,mobility,0,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
259,cognitive,14,associate,"['assistive technology', 'noise reduction']",hybrid
260,mobility,6,associate,"['remote work', 'physical workspace modifications']",hybrid
261,hearing,8,phd,['assistive technology'],in-office
262,chronic health,20,phd,"['flexible schedule', 'remote work']",fully remote
263,psychiatric,8,bachelor,['flexible schedule'],in-office
264,mobility,11,master,"['flexible schedule', 'remote work']",fully remote
265,psychiatric,4,associate,['flexible schedule'],in-office
266,vision,3,high school,"['flexible schedule', 'physical workspace modifications']",hybrid
267,cognitive,13,master,"['noise reduction', 'assistive technology']",in-office
268,mobility,19,master,"['remote work', 'flexible schedule']",fully remote
269,hearing,17,bachelor,"['noise reduction', 'physical workspace modifications']",fully remote
270,mobility,7,phd,"['physical workspace modifications', 'remote work']",hybrid
271,hearing,8,associate,"['noise reduction', 'physical workspace modifications']",hybrid
272,hearing,7,associate,"['interpreter services', 'noise reduction', 'assistive technology']",hybrid
273,mobility,5,associate,"['remote work', 'flexible schedule']",in-office
274,mobility,13,high school,"['remote work', 'physical workspace modifications']",in-office
275,hearing,15,high school,['modified training materials'],hybrid
276,chronic health,1,associate,"['flexible schedule', 'noise reduction']",fully remote
277,cognitive,4,master,"['modified training materials', 'physical workspace modifications', 'noise reduction']",hybrid
278,vision,11,master,['remote work'],hybrid
279,chronic health,0,high school,"['physical workspace modifications', 'remote work']",hybrid
280,chronic health,17,associate,"['noise reduction', 'physical workspace modifications']",in-office
281,chronic health,19,associate,"['remote work', 'physical workspace modifications']",fully remote
282,hearing,16,phd,"['physical workspace modifications', 'assistive technology', 'interpreter services']",in-office
283,mobility,10,high school,"['flexible schedule', 'physical workspace modifications']",in-office
284,vision,3,phd,"['flexible schedule', 'remote work']",in-office
285,hearing,20,bachelor,['noise reduction'],fully remote
286,mobility,2,associate,"['remote work', 'physical workspace modifications']",fully remote
287,mobility,17,high school,"['physical workspace modifications', 'flexible schedule']",fully remote
288,mobility,12,master,"['flexible schedule', 'physical workspace modifications']",in-office
289,mobility,10,phd,['remote work'],fully remote
290,vision,3,high school,['physical workspace modifications'],in-office
291,mobility,15,high school,"['flexible schedule', 'remote work']",hybrid
292,psychiatric,15,bachelor,['flexible schedule'],in-office
293,cognitive,19,master,"['assistive technology', 'noise reduction', 'flexible schedule', 'modified training materials']",fully remote
294,mobility,0,bachelor,"['remote work', 'flexible schedule']",in-office
295,mobility,6,bachelor,['physical workspace modifications'],in-office
296,hearing,7,master,"['interpreter services', 'assistive technology']",in-office
297,mobility,5,high school,"['flexible schedule', 'remote work']",fully remote
298,cognitive,18,master,"['modified training materials', 'assistive technology', 'noise reduction', 'physical workspace modifications']",hybrid
299,cognitive,0,master,"['flexible schedule', 'noise reduction', 'modified training materials', 'assistive technology', 'physical workspace modifications']",fully remote
300,chronic health,0,associate,"['remote work', 'physical workspace modifications']",fully remote
301,psychiatric,15,master,['noise reduction'],hybrid
302,psychiatric,6,master,['noise reduction'],hybrid
303,psychiatric,10,associate,"['physical workspace modifications', 'flexible schedule']",fully remote
304,cognitive,17,high school,"['modified training materials', 'assistive technology']",in-office
305,mobility,11,phd,"['remote work', 'physical workspace modifications']",fully remote
306,vision,0,high school,"['flexible schedule', 'physical workspace modifications']",in-office
307,cognitive,17,master,"['flexible schedule', 'assistive technology']",in-office
308,cognitive,8,phd,"['noise reduction', 'modified training materials', 'physical workspace modifications', 'assistive technology', 'flexible schedule']",hybrid
309,cognitive,6,master,"['flexible schedule', 'modified training materials', 'assistive technology', 'noise reduction']",fully remote
310,mobility,15,bachelor,['physical workspace modifications'],hybrid
311,hearing,0,associate,['noise reduction'],fully remote
312,cognitive,7,master,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'flexible schedule', 'modified training materials']",fully remote
313,vision,10,high school,"['flexible schedule', 'physical workspace modifications']",fully remote
314,vision,7,phd,['physical workspace modifications'],hybrid
315,vision,6,master,"['remote work', 'physical workspace modifications']",hybrid
316,hearing,17,master,"['physical workspace modifications', 'assistive technology', 'interpreter services']",hybrid
317,vision,18,phd,"['flexible schedule', 'remote work']",in-office
318,chronic health,3,master,"['remote work', 'physical workspace modifications']",hybrid
319,cognitive,7,associate,"['physical workspace modifications', 'noise reduction', 'flexible schedule', 'modified training materials']",hybrid
320,chronic health,0,associate,"['noise reduction', 'flexible schedule']",hybrid
321,chronic health,17,phd,['noise reduction'],in-office
322,mobility,3,bachelor,['flexible schedule'],fully remote
323,cognitive,16,bachelor,"['assistive technology', 'flexible schedule']",hybrid
324,chronic health,15,associate,"['physical workspace modifications', 'noise reduction', 'flexible schedule']",hybrid
325,hearing,13,bachelor,['physical workspace modifications'],in-office
326,hearing,17,associate,"['noise reduction', 'assistive technology', 'modified training materials', 'physical workspace modifications']",hybrid
327,mobility,11,master,['physical workspace modifications'],hybrid
328,mobility,18,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
329,mobility,12,bachelor,['remote work'],fully remote
330,psychiatric,8,associate,['physical workspace modifications'],fully remote
331,hearing,3,bachelor,['assistive technology'],hybrid
332,psychiatric,5,bachelor,['flexible schedule'],fully remote
333,mobility,3,bachelor,['remote work'],hybrid
334,hearing,7,phd,"['noise reduction', 'interpreter services', 'modified training materials', 'physical workspace modifications']",fully remote
335,mobility,10,phd,['remote work'],fully remote
336,chronic health,19,master,['noise reduction'],fully remote
337,cognitive,13,phd,"['modified training materials', 'physical workspace modifications', 'flexible schedule']",in-office
338,mobility,1,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
339,cognitive,20,high school,"['noise reduction', 'assistive technology', 'modified training materials', 'physical workspace modifications', 'flexible schedule']",hybrid
340,cognitive,4,associate,"['noise reduction', 'modified training materials', 'assistive technology', 'physical workspace modifications', 'flexible schedule']",hybrid
341,psychiatric,19,bachelor,"['noise reduction', 'physical workspace modifications']",fully remote
342,psychiatric,3,high school,"['physical workspace modifications', 'flexible schedule']",in-office
343,hearing,17,master,['assistive technology'],hybrid
344,mobility,9,phd,"['flexible schedule', 'remote work']",in-office
345,mobility,8,master,['remote work'],fully remote
346,mobility,5,bachelor,"['physical workspace modifications', 'remote work']",hybrid
347,psychiatric,10,high school,['flexible schedule'],fully remote
348,vision,20,high school,"['physical workspace modifications', 'flexible schedule']",fully remote
349,psychiatric,19,high school,['flexible schedule'],fully remote
350,psychiatric,3,bachelor,"['noise reduction', 'physical workspace modifications']",hybrid
351,cognitive,19,high school,"['modified training materials', 'physical workspace modifications', 'noise reduction', 'flexible schedule']",hybrid
352,vision,3,master,['physical workspace modifications'],in-office
353,chronic health,16,high school,"['noise reduction', 'remote work', 'physical workspace modifications']",fully remote
354,hearing,6,associate,"['physical workspace modifications', 'noise reduction', 'modified training materials', 'assistive technology']",in-office
355,mobility,2,bachelor,['physical workspace modifications'],hybrid
356,cognitive,1,associate,"['noise reduction', 'modified training materials', 'physical workspace modifications', 'assistive technology', 'flexible schedule']",fully remote
357,cognitive,16,bachelor,"['modified training materials', 'flexible schedule']",hybrid
358,mobility,7,high school,['flexible schedule'],hybrid
359,vision,12,associate,['physical workspace modifications'],in-office
360,mobility,17,associate,['physical workspace modifications'],hybrid
361,vision,15,high school,"['remote work', 'physical workspace modifications']",hybrid
362,chronic health,16,high school,"['flexible schedule', 'remote work']",fully remote
363,mobility,20,bachelor,"['physical workspace modifications', 'flexible schedule']",fully remote
364,cognitive,19,master,"['assistive technology', 'physical workspace modifications', 'noise reduction', 'modified training materials']",hybrid
365,mobility,13,bachelor,['remote work'],hybrid
366,psychiatric,4,associate,['noise reduction'],hybrid
367,hearing,19,associate,['interpreter services'],hybrid
368,cognitive,11,bachelor,"['assistive technology', 'noise reduction', 'modified training materials', 'physical workspace modifications', 'flexible schedule']",fully remote
369,hearing,2,phd,"['interpreter services', 'noise reduction', 'modified training materials']",hybrid
370,mobility,2,phd,"['remote work', 'physical workspace modifications']",hybrid
371,hearing,2,associate,"['physical workspace modifications', 'assistive technology', 'modified training materials']",in-office
372,mobility,5,high school,"['physical workspace modifications', 'remote work']",in-office
373,vision,8,master,['remote work'],fully remote
374,cognitive,11,bachelor,"['modified training materials', 'physical workspace modifications', 'assistive technology', 'flexible schedule', 'noise reduction']",hybrid
375,cognitive,20,bachelor,"['noise reduction', 'assistive technology']",fully remote
376,vision,20,associate,"['physical workspace modifications', 'remote work']",fully remote
377,chronic health,5,bachelor,['remote work'],fully remote
378,vision,8,associate,['remote work'],hybrid
379,hearing,12,bachelor,"['modified training materials', 'noise reduction', 'physical workspace modifications']",in-office
380,cognitive,20,master,"['noise reduction', 'assistive technology']",in-office
381,psychiatric,17,bachelor,['noise reduction'],fully remote
382,cognitive,5,phd,"['modified training materials', 'physical workspace modifications', 'assistive technology', 'flexible schedule']",fully remote
383,vision,13,bachelor,"['physical workspace modifications', 'remote work']",hybrid
384,hearing,16,associate,"['interpreter services', 'modified training materials', 'physical workspace modifications']",in-office
385,mobility,15,associate,"['remote work', 'flexible schedule']",in-office
386,mobility,9,associate,['remote work'],hybrid
387,vision,18,high school,"['remote work', 'physical workspace modifications']",in-office
388,chronic health,11,phd,"['physical workspace modifications', 'remote work', 'flexible schedule']",in-office
389,chronic health,13,high school,"['noise reduction', 'remote work']",hybrid
390,vision,13,master,['physical workspace modifications'],fully remote
391,hearing,20,master,['modified training materials'],hybrid
392,mobility,8,phd,['flexible schedule'],hybrid
393,chronic health,4,associate,"['flexible schedule', 'physical workspace modifications']",fully remote
394,chronic health,7,bachelor,"['remote work', 'noise reduction']",in-office
395,psychiatric,16,high school,"['physical workspace modifications', 'noise reduction']",hybrid
396,chronic health,2,bachelor,['remote work'],fully remote
397,hearing,15,bachelor,"['interpreter services', 'assistive technology']",fully remote
398,psychiatric,9,master,['noise reduction'],fully remote
399,hearing,19,high school,['noise reduction'],in-office
400,vision,16,associate,"['physical workspace modifications', 'flexible schedule']",hybrid
401,hearing,13,master,['noise reduction'],in-office
402,mobility,8,bachelor,['flexible schedule'],hybrid
403,cognitive,15,associate,"['flexible schedule', 'modified training materials', 'noise reduction', 'assistive technology']",in-office
404,vision,13,bachelor,['flexible schedule'],hybrid
